#     Isomers_aligned  RMSD(Conv)  RMSD(KM-ByAtomName)
10    10-1_10-2        1.131       0.321
50    50-1_50-2        2.009       0.379
100   100-1_100-2      2.597       0.212
150   150-1_150-2      0.941       0.298
200   200-1_200-2      3.750       0.536
300   300-1_300-2      3.646       0.122
500   500-1_50-2       3.346       0.514
1000  1000-1_1000-2    3.209       0.221
